data,comarcacodi,comarcadescripcio,municipicodi,municipidescripcio,districtecodi,districtedescripcio,sexecodi,sexedescripcio,resultatcoviddescripcio,numcasos,:id
2020-05-05T00:00:00.000,11.0,BAIX LLOBREGAT,8072.0,CORBERA DE LLOBREGAT,,No classificat,1.0,Dona,PCR probable,1,row-svpz-cgjj-ny2b
2020-04-22T00:00:00.000,21.0,MARESME,8006.0,ARENYS DE MAR,,No classificat,0.0,Home,PCR probable,1,row-7dyx_ay6t_dq9a
2020-11-27T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,8.0,NOU BARRIS,1.0,Dona,Positiu per ELISA,4,row-m5mu_j8sp_vyqy
2020-10-22T00:00:00.000,33.0,SEGRIA,25228.0,TORREFARRERA,,No classificat,1.0,Dona,Epidemiològic,1,row-27xm.tg4c~hsn2
2020-08-07T00:00:00.000,21.0,MARESME,8006.0,ARENYS DE MAR,,No classificat,1.0,Dona,Positiu per Test Ràpid,2,row-x22j_qivi.i5ws
2020-10-25T00:00:00.000,11.0,BAIX LLOBREGAT,8211.0,SANT FELIU DE LLOBREGAT,,No classificat,1.0,Dona,Positiu per ELISA,1,row-6xmg~zvjj-3x5w
2020-07-21T00:00:00.000,7.0,BAGES,8113.0,MANRESA,,No classificat,1.0,Dona,Positiu per Test Ràpid,3,row-fqq4~8t3a~zxau
2020-07-21T00:00:00.000,13.0,BARCELONES,8019.0,BARCELONA,10.0,SANT MARTÍ,1.0,Dona,Positiu per ELISA,1,row-ea99_x4mi~tcmb
2020-07-21T00:00:00.000,3.0,ALT PENEDES,8305.0,VILAFRANCA DEL PENEDÈS,,No classificat,1.0,Dona,Positiu per Test Ràpid,1,row-jzv7-dczy_ykun
2021-02-19T00:00:00.000,8.0,BAIX CAMP,43123.0,REUS,,No classificat,1.0,Dona,Positiu per ELISA,1,row-kp2q.q2qd.4zty
2021-02-01T00:00:00.000,7.0,BAGES,8113.0,MANRESA,,No classificat,0.0,Home,Positiu PCR,9,row-byw8_pb7h_7zcm
2020-07-23T00:00:00.000,13.0,BARCELONES,8245.0,SANTA COLOMA DE GRAMENET,,No classificat,1.0,Dona,Positiu per Test Ràpid,9,row-a5w3_ub2v-ndxh
2020-07-25T00:00:00.000,11.0,BAIX LLOBREGAT,8169.0,EL PRAT DE LLOBREGAT,,No classificat,0.0,Home,PCR probable,1,row-nhsv.qhjw-mm8h
2020-07-16T00:00:00.000,40.0,VALLES OCCIDENTAL,8180.0,RIPOLLET,,No classificat,0.0,Home,Positiu per Test Ràpid,7,row-xqtj_jm34-m898
2020-11-05T00:00:00.000,41.0,VALLES ORIENTAL,8124.0,MOLLET DEL VALLÈS,,No classificat,0.0,Home,Epidemiològic,1,row-ifw9-c4ks.j967
2020-05-07T00:00:00.000,41.0,VALLES ORIENTAL,8096.0,GRANOLLERS,,No classificat,1.0,Dona,Positiu per ELISA,1,row-tie6~pw2c.v7q4
2020-07-28T00:00:00.000,40.0,VALLES OCCIDENTAL,8266.0,CERDANYOLA DEL VALLÈS,,No classificat,0.0,Home,PCR probable,1,row-6anx_mu92.5at8
